time,r1,r2,r3,id,organism,name,control,treatment
0,246239.2393,220751.176,245383.8676,barakgavish2018,H,ehux379,TRUE,replete
2,633490.8798,627061.8667,655387.1078,barakgavish2018,H,ehux379,TRUE,replete
4,1554661.836,1544663.585,1517089.132,barakgavish2018,H,ehux379,TRUE,replete
5,2005014.382,2026774.156,2021723.094,barakgavish2018,H,ehux379,TRUE,replete
7,2331579.743,2338201.564,2429148.886,barakgavish2018,H,ehux379,TRUE,replete
8,2622780.007,2750158.061,2829349.795,barakgavish2018,H,ehux379,TRUE,replete
9,2828059.395,2920920.712,2906039.1,barakgavish2018,H,ehux379,TRUE,replete
10,3164633.697,3151986.569,3166563.604,barakgavish2018,H,ehux379,TRUE,replete
11,2880614.604,3114562.152,2905482.117,barakgavish2018,H,ehux379,TRUE,replete
12,3497661.026,3661861.39,3718503.175,barakgavish2018,H,ehux379,TRUE,replete
13,2888182.358,3221951.345,3187175.88,barakgavish2018,H,ehux379,TRUE,replete
14,2665765.862,2985356.717,2824618.826,barakgavish2018,H,ehux379,TRUE,replete
15,2991701.788,3315054.274,3270522.273,barakgavish2018,H,ehux379,TRUE,replete
16,3298213.748,3695483.359,3717920.929,barakgavish2018,H,ehux379,TRUE,replete
17,3166939.956,3551965.068,3715614.059,barakgavish2018,H,ehux379,TRUE,replete
0,239294.23,231101.74,222677.61,barakgavish2018,H,ehux379,FALSE,infected379D7
2,591942.11,571881.9,535185.16,barakgavish2018,H,ehux379,FALSE,infected379D7
4,1395117,1454621.8,1444585,barakgavish2018,H,ehux379,FALSE,infected379D7
5,1925971.6,1983929.9,2075122.8,barakgavish2018,H,ehux379,FALSE,infected379D7
7,2310655.9,2421718.1,2260332.6,barakgavish2018,H,ehux379,FALSE,infected379D7
8,2720289.8,2780006.9,2732187.6,barakgavish2018,H,ehux379,FALSE,infected379D7
9,2920044.5,2977216.8,2917503.6,barakgavish2018,H,ehux379,FALSE,infected379D7
10,3310899.2,3393169.1,3358986.9,barakgavish2018,H,ehux379,FALSE,infected379D7
11,2929947.7,3121275.5,2949471.3,barakgavish2018,H,ehux379,FALSE,infected379D7
12,3303329.5,3377673.8,3239964,barakgavish2018,H,ehux379,FALSE,infected379D7
13,2362270.1,2098513.8,2166304.4,barakgavish2018,H,ehux379,FALSE,infected379D7
14,971688.67,793107.78,733724.05,barakgavish2018,H,ehux379,FALSE,infected379D7
15,598950.49,509021.08,456185.53,barakgavish2018,H,ehux379,FALSE,infected379D7
16,569635.67,483618.42,410488.34,barakgavish2018,H,ehux379,FALSE,infected379D7
17,331461.98,259686.96,223024.06,barakgavish2018,H,ehux379,FALSE,infected379D7
0,95740.88849,97894.25381,60936.38918,barakgavish2018,B,bacteria,TRUE,replete
2,100826.503,71835.39433,101308.569,barakgavish2018,B,bacteria,TRUE,replete
4,83724.72943,76893.24317,87241.00327,barakgavish2018,B,bacteria,TRUE,replete
5,199904.8072,210618.6924,162733.93,barakgavish2018,B,bacteria,TRUE,replete
7,1239186.741,1296075.1,701944.2096,barakgavish2018,B,bacteria,TRUE,replete
8,230717.7313,245968.8439,246730.484,barakgavish2018,B,bacteria,TRUE,replete
9,520835.0857,300782.4408,489473.9503,barakgavish2018,B,bacteria,TRUE,replete
10,298989.899,320779.6163,337295.54,barakgavish2018,B,bacteria,TRUE,replete
11,5478528.951,1376913.082,952718.7959,barakgavish2018,B,bacteria,TRUE,replete
12,988152.2561,750063.3499,798716.1078,barakgavish2018,B,bacteria,TRUE,replete
13,873904.2481,998618.6449,973120.9137,barakgavish2018,B,bacteria,TRUE,replete
14,1572246.548,1191097.054,1608297.414,barakgavish2018,B,bacteria,TRUE,replete
15,1830658.997,1387959.585,1475368.421,barakgavish2018,B,bacteria,TRUE,replete
16,1727315.531,1913540.791,1727460.774,barakgavish2018,B,bacteria,TRUE,replete
17,2665321.564,2970137.207,2439918.602,barakgavish2018,B,bacteria,TRUE,replete
0,59886.4223,45933.01435,51602.24986,barakgavish2018,B,bacteria,FALSE,infected379D7
2,1362694.388,1260415.089,1421700.167,barakgavish2018,B,bacteria,FALSE,infected379D7
4,1920936.255,1696177.367,1687925.384,barakgavish2018,B,bacteria,FALSE,infected379D7
5,2445438.343,2047623.054,1882289.58,barakgavish2018,B,bacteria,FALSE,infected379D7
7,3248102.076,3526682.135,1489426.288,barakgavish2018,B,bacteria,FALSE,infected379D7
8,2818067.669,2752349.197,3173193.379,barakgavish2018,B,bacteria,FALSE,infected379D7
9,4192122.119,4756479.827,4365618.9,barakgavish2018,B,bacteria,FALSE,infected379D7
10,7382627.133,7774733.126,6755663.43,barakgavish2018,B,bacteria,FALSE,infected379D7
11,9737421.992,8360680.567,10028969.88,barakgavish2018,B,bacteria,FALSE,infected379D7
12,15428917.45,18156076.07,16549636.8,barakgavish2018,B,bacteria,FALSE,infected379D7
13,27227366.08,34304776.35,28114874.07,barakgavish2018,B,bacteria,FALSE,infected379D7
14,41109914.52,41989098.98,41135243.35,barakgavish2018,B,bacteria,FALSE,infected379D7
15,48443793.85,51563792.93,53805761.93,barakgavish2018,B,bacteria,FALSE,infected379D7
16,56205597.42,55909893.25,54116737.79,barakgavish2018,B,bacteria,FALSE,infected379D7
17,53538616.69,55818460.14,57764031.53,barakgavish2018,B,bacteria,FALSE,infected379D7
0,380377.1286,329708.8563,352304.7619,barakgavish2018,H,ehux379,TRUE,replete
2,568100.9957,535289.6341,549711.907,barakgavish2018,H,ehux379,TRUE,replete
4,1463162.43,1574267.968,1533850.601,barakgavish2018,H,ehux379,TRUE,replete
5,2452389.398,2400030.394,2350148.143,barakgavish2018,H,ehux379,TRUE,replete
6,,2631878.991,2595843.484,barakgavish2018,H,ehux379,TRUE,replete
7,3330275.927,3422523.436,,barakgavish2018,H,ehux379,TRUE,replete
9,3330010.653,3867382.877,4047055.537,barakgavish2018,H,ehux379,TRUE,replete
10,3317558.49,3546083.475,3818002.229,barakgavish2018,H,ehux379,TRUE,replete
11,2820858.056,,3011247.625,barakgavish2018,H,ehux379,TRUE,replete
12,,2160936.431,1951996.957,barakgavish2018,H,ehux379,TRUE,replete
13,2518686.498,2735215.905,,barakgavish2018,H,ehux379,TRUE,replete
14,3235873.917,,3012466.427,barakgavish2018,H,ehux379,TRUE,replete
15,2700326.723,,2631229.741,barakgavish2018,H,ehux379,TRUE,replete
18,2799883.329,3307696.208,3263180.574,barakgavish2018,H,ehux379,TRUE,replete
19,3140769.815,3436501.901,3438308.974,barakgavish2018,H,ehux379,TRUE,replete
20,3612320.953,3671485.088,3692389.596,barakgavish2018,H,ehux379,TRUE,replete
21,3547505.698,3479261.155,2830221.659,barakgavish2018,H,ehux379,TRUE,replete
22,3086856.303,2722240.527,2476110.773,barakgavish2018,H,ehux379,TRUE,replete
0,379044.3322,311120.1443,359637.0845,barakgavish2018,H,ehux379,FALSE,infected379D7
2,496211.4493,551731.1454,577305.7546,barakgavish2018,H,ehux379,FALSE,infected379D7
4,1531869.581,1606305.804,1496576.385,barakgavish2018,H,ehux379,FALSE,infected379D7
5,2518056.717,2137277.747,2588785.047,barakgavish2018,H,ehux379,FALSE,infected379D7
6,3213747.622,3467190.669,3667291.994,barakgavish2018,H,ehux379,FALSE,infected379D7
7,3684565.289,4165421.72,4246055.664,barakgavish2018,H,ehux379,FALSE,infected379D7
9,4184587.268,2802736.602,2643214.041,barakgavish2018,H,ehux379,FALSE,infected379D7
10,2739656.835,2193556.564,1805445.005,barakgavish2018,H,ehux379,FALSE,infected379D7
11,1612975.165,984991.7607,678476.3932,barakgavish2018,H,ehux379,FALSE,infected379D7
12,120955.4722,25487.56055,88855.07798,barakgavish2018,H,ehux379,FALSE,infected379D7
13,12391.03994,3420.232576,17176.73287,barakgavish2018,H,ehux379,FALSE,infected379D7
14,4787.476569,2813.616892,4563.200324,barakgavish2018,H,ehux379,FALSE,infected379D7
15,2662.609357,2659.574468,4253.918416,barakgavish2018,H,ehux379,FALSE,infected379D7
18,380.2377754,456.0194568,1521.182466,barakgavish2018,H,ehux379,FALSE,infected379D7
19,912.4781385,1139.471285,2738.614464,barakgavish2018,H,ehux379,FALSE,infected379D7
20,684.2025239,1672.622215,4259.094942,barakgavish2018,H,ehux379,FALSE,infected379D7
21,304.205643,1672.113704,8366.927816,barakgavish2018,H,ehux379,FALSE,infected379D7
22,379.9488336,1444.793673,13389.80042,barakgavish2018,H,ehux379,FALSE,infected379D7
0,108196.1491,87425.3242,44302.23972,barakgavish2018,B,bacteria,TRUE,replete
2,65254.82614,52785.92375,14063.46137,barakgavish2018,B,bacteria,TRUE,replete
4,282236.7261,265478.9975,163181.4336,barakgavish2018,B,bacteria,TRUE,replete
5,363901.4434,409986.8594,377347.296,barakgavish2018,B,bacteria,TRUE,replete
6,167817.4985,207776.9626,143214.7639,barakgavish2018,B,bacteria,TRUE,replete
7,158511.1692,37990.31247,126471.7396,barakgavish2018,B,bacteria,TRUE,replete
8,244691.0775,141421.8791,247854.5455,barakgavish2018,B,bacteria,TRUE,replete
9,627578.5926,604613.2339,530312.018,barakgavish2018,B,bacteria,TRUE,replete
10,325953.6188,347307.4899,42633.82283,barakgavish2018,B,bacteria,TRUE,replete
11,88550.42947,485673.2264,340415.2583,barakgavish2018,B,bacteria,TRUE,replete
12,1767520.079,732600.7326,1339612.768,barakgavish2018,B,bacteria,TRUE,replete
13,2012534.819,1831742.07,2474298.658,barakgavish2018,B,bacteria,TRUE,replete
14,1645084.914,1174957.62,1185357.35,barakgavish2018,B,bacteria,TRUE,replete
15,1022757.227,2366128.47,2500000,barakgavish2018,B,bacteria,TRUE,replete
18,2407256.658,3106999.476,2770276.156,barakgavish2018,B,bacteria,TRUE,replete
19,4578355.587,4422467.204,4892186.818,barakgavish2018,B,bacteria,TRUE,replete
20,4193191.737,5540827.92,4884591.935,barakgavish2018,B,bacteria,TRUE,replete
21,5908733.967,6585728.011,7253072.967,barakgavish2018,B,bacteria,TRUE,replete
22,5561851.626,7438592.416,7702620.353,barakgavish2018,B,bacteria,TRUE,replete
0,3924.390084,28439.38855,35870.15006,barakgavish2018,B,bacteria,FALSE,infected379D7
2,1242743.371,1260902.652,1711585.579,barakgavish2018,B,bacteria,FALSE,infected379D7
4,1312757.082,1218681.798,1642013.129,barakgavish2018,B,bacteria,FALSE,infected379D7
5,2048602.038,2290196.078,2617877.192,barakgavish2018,B,bacteria,FALSE,infected379D7
6,2607255.933,2739678.097,2770758.909,barakgavish2018,B,bacteria,FALSE,infected379D7
7,1212262.366,,633020.7305,barakgavish2018,B,bacteria,FALSE,infected379D7
8,6671124.938,10926534.29,20668604.65,barakgavish2018,B,bacteria,FALSE,infected379D7
9,17655268.67,26400837.01,29942418.43,barakgavish2018,B,bacteria,FALSE,infected379D7
10,,30762689.65,34517394.72,barakgavish2018,B,bacteria,FALSE,infected379D7
11,36309267.55,8474773.309,17810948.16,barakgavish2018,B,bacteria,FALSE,infected379D7
12,,93772486.31,99722181.94,barakgavish2018,B,bacteria,FALSE,infected379D7
13,108939033.6,,43892092.38,barakgavish2018,B,bacteria,FALSE,infected379D7
14,114439508.8,81081081.08,69713289.76,barakgavish2018,B,bacteria,FALSE,infected379D7
15,128887469.5,122295967.3,110774879.8,barakgavish2018,B,bacteria,FALSE,infected379D7
18,94614176.89,96229574.93,105960672.7,barakgavish2018,B,bacteria,FALSE,infected379D7
19,136226294.5,116179187.7,146499390.1,barakgavish2018,B,bacteria,FALSE,infected379D7
20,124093601.2,119818873.2,141561519.7,barakgavish2018,B,bacteria,FALSE,infected379D7
21,146853463.3,146473250.6,140356426.4,barakgavish2018,B,bacteria,FALSE,infected379D7
22,140192391.5,124223660.2,126541785.1,barakgavish2018,B,bacteria,FALSE,infected379D7
0,403897.8263,346808.254,488368.3102,barakgavish2018,H,ehux379,TRUE,replete
1,689166.8855,705428.1366,727936.9174,barakgavish2018,H,ehux379,TRUE,replete
2,1327860.977,1292733.695,1272671.459,barakgavish2018,H,ehux379,TRUE,replete
3,2374570.534,2184343.238,2129243.698,barakgavish2018,H,ehux379,TRUE,replete
4,3651775.63,3687413.121,3582748.32,barakgavish2018,H,ehux379,TRUE,replete
5,4962709.188,5085946.991,4995158.053,barakgavish2018,H,ehux379,TRUE,replete
6,4887506.553,5657516.02,5482554.94,barakgavish2018,H,ehux379,TRUE,replete
7,5294689.103,5747188.446,5511392.951,barakgavish2018,H,ehux379,TRUE,replete
8,5383494.915,5637538.653,5507045.115,barakgavish2018,H,ehux379,TRUE,replete
9,5258715.042,5121901.991,5230025.85,barakgavish2018,H,ehux379,TRUE,replete
10,4844559.638,5020989.355,4896567.56,barakgavish2018,H,ehux379,TRUE,replete
11,4689203.508,4875121.485,4718192.144,barakgavish2018,H,ehux379,TRUE,replete
0,477278.9428,486417.4632,471685.3173,barakgavish2018,H,ehux379,FALSE,infected379D7
1,717460.5399,704064.9878,649737.7114,barakgavish2018,H,ehux379,FALSE,infected379D7
2,1175993.855,1199150.63,1234330.798,barakgavish2018,H,ehux379,FALSE,infected379D7
3,1945851.587,2076896.366,2006756.027,barakgavish2018,H,ehux379,FALSE,infected379D7
4,3599374.234,3235246.231,3391053.754,barakgavish2018,H,ehux379,FALSE,infected379D7
5,5248682.853,5257173.656,5182478.894,barakgavish2018,H,ehux379,FALSE,infected379D7
6,5772078.484,5244270.623,5647971.015,barakgavish2018,H,ehux379,FALSE,infected379D7
7,5026789.448,4547278.613,4806534.37,barakgavish2018,H,ehux379,FALSE,infected379D7
8,4193500.564,4079981.482,3995759.336,barakgavish2018,H,ehux379,FALSE,infected379D7
9,2363275.105,2525428.118,2027704.52,barakgavish2018,H,ehux379,FALSE,infected379D7
10,1946647.656,2093867.202,1510023.987,barakgavish2018,H,ehux379,FALSE,infected379D7
11,20405.57479,84501.90271,10230.55071,barakgavish2018,H,ehux379,FALSE,infected379D7
0,83217.75312,21145.37445,32041.77298,barakgavish2018,B,sulfitobacterD7,TRUE,replete
1,85260.07283,74430.6938,24990.33112,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
2,49072.58653,38766.51982,48953.90174,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
3,62710.48659,45133.66509,63154.20151,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
4,118380.9662,83570.30933,70472.1635,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
5,269136.6655,126186.6511,132697.0085,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
6,813795.1022,765505.8428,542043.0855,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
7,1667053.364,1297090.53,949527.2727,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
8,901385.3978,975069.8975,998203.0027,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
9,1429316.641,1307873.398,1043175.891,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
10,661615.1193,614358.4343,639804.2129,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
11,1181547.016,1172627.035,1050952.643,barakgavish2018,B,sulfitobacterD7,TRUE,infected379D7
0,35409.71997,28337.81031,22335.97022,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
1,176252.8641,253896.3555,244641.1929,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
2,3478159.851,3483217.963,3602401.601,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
3,4391856.621,4762870.47,4617790.132,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
4,5808580.858,6134174.212,5803871.566,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
5,9039114.905,7976304.556,7922559.703,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
6,22466562.45,20581849.76,23564230.28,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
7,46403246.85,48023660.4,51052509.56,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
8,77511579.43,75948048.94,85065492.06,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
9,118934521.1,109189439.6,129123639.7,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
10,112803613.8,102904717.9,123193296.7,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
11,138901990.3,169514647.5,171992121.9,barakgavish2018,B,sulfitobacterD7,FALSE,infected379D7
0,403897.8263,346808.254,488368.3102,barakgavish2018,H,ehux379,TRUE,0DMSP
1,689166.8855,705428.1366,727936.9174,barakgavish2018,H,ehux379,TRUE,0DMSP
2,1327860.977,1292733.695,1272671.459,barakgavish2018,H,ehux379,TRUE,0DMSP
3,2374570.534,2184343.238,2129243.698,barakgavish2018,H,ehux379,TRUE,0DMSP
4,3651775.63,3687413.121,3582748.32,barakgavish2018,H,ehux379,TRUE,0DMSP
5,4962709.188,5085946.991,4995158.053,barakgavish2018,H,ehux379,TRUE,0DMSP
6,4887506.553,5657516.02,5482554.94,barakgavish2018,H,ehux379,TRUE,0DMSP
7,5294689.103,5747188.446,5511392.951,barakgavish2018,H,ehux379,TRUE,0DMSP
8,5383494.915,5637538.653,5507045.115,barakgavish2018,H,ehux379,TRUE,0DMSP
9,5258715.042,5121901.991,5230025.85,barakgavish2018,H,ehux379,TRUE,0DMSP
10,4844559.638,5020989.355,4896567.56,barakgavish2018,H,ehux379,TRUE,0DMSP
11,4689203.508,4875121.485,4718192.144,barakgavish2018,H,ehux379,TRUE,0DMSP
0,382721.6659,425879.4973,410930.6816,barakgavish2018,H,ehux379,TRUE,10DMSP
1,632808.9694,589135.7717,605449.4202,barakgavish2018,H,ehux379,TRUE,10DMSP
2,1145109.762,1101157.833,1070433.933,barakgavish2018,H,ehux379,TRUE,10DMSP
3,1953430.599,1814531.689,1802082.86,barakgavish2018,H,ehux379,TRUE,10DMSP
4,3512641.914,3367270.804,3345138.095,barakgavish2018,H,ehux379,TRUE,10DMSP
5,4970442.014,4735998.268,4683580.161,barakgavish2018,H,ehux379,TRUE,10DMSP
6,6089603.768,6056193.445,6005913.264,barakgavish2018,H,ehux379,TRUE,10DMSP
7,6049206.239,5604028.812,5816674.238,barakgavish2018,H,ehux379,TRUE,10DMSP
8,5652657.639,5344094.791,5480177.477,barakgavish2018,H,ehux379,TRUE,10DMSP
9,5535470.955,5191863.701,5075867.106,barakgavish2018,H,ehux379,TRUE,10DMSP
10,5133682.848,4993934.829,4821946.698,barakgavish2018,H,ehux379,TRUE,10DMSP
11,4268076.939,4948970.975,3907195.19,barakgavish2018,H,ehux379,TRUE,10DMSP
0,468584.7095,450232.3593,452820.1291,barakgavish2018,H,ehux379,TRUE,100DMSP
1,618202.8125,590133.4351,593460.1221,barakgavish2018,H,ehux379,TRUE,100DMSP
2,1218564.983,1134085.905,1052027.064,barakgavish2018,H,ehux379,TRUE,100DMSP
3,2109298.996,1954532.171,1966783.714,barakgavish2018,H,ehux379,TRUE,100DMSP
4,3315160.696,3291041.361,3154074.884,barakgavish2018,H,ehux379,TRUE,100DMSP
5,4810583.346,4784650.575,4688731.361,barakgavish2018,H,ehux379,TRUE,100DMSP
6,4960741.736,5298214.897,5376083.053,barakgavish2018,H,ehux379,TRUE,100DMSP
7,5283660.305,5638175.09,5711769.822,barakgavish2018,H,ehux379,TRUE,100DMSP
8,5033223.476,5126707.726,5182794.38,barakgavish2018,H,ehux379,TRUE,100DMSP
9,4817575.655,5004706.46,5059579.954,barakgavish2018,H,ehux379,TRUE,100DMSP
10,4475410.785,4878165.417,4892382.221,barakgavish2018,H,ehux379,TRUE,100DMSP
11,2986179.365,3237687.61,3461554.194,barakgavish2018,H,ehux379,TRUE,100DMSP
0,519298.0834,532680.9347,520910.6299,barakgavish2018,H,ehux379,TRUE,500DMSP
1,754954.5755,794053.2576,788956.5006,barakgavish2018,H,ehux379,TRUE,500DMSP
2,1201881.935,1164692.858,1141294.94,barakgavish2018,H,ehux379,TRUE,500DMSP
3,1824805.909,1794492.908,1767393.702,barakgavish2018,H,ehux379,TRUE,500DMSP
4,2908665.124,2783568.341,2812612.852,barakgavish2018,H,ehux379,TRUE,500DMSP
5,3971675.09,3955643.647,4079323.987,barakgavish2018,H,ehux379,TRUE,500DMSP
6,5542752.909,5433740.5,5277577.29,barakgavish2018,H,ehux379,TRUE,500DMSP
7,5502840.945,5729334.14,5643648.471,barakgavish2018,H,ehux379,TRUE,500DMSP
8,4921283.533,5220941.917,4991739.923,barakgavish2018,H,ehux379,TRUE,500DMSP
9,4761726.242,4819861.891,4699879.266,barakgavish2018,H,ehux379,TRUE,500DMSP
10,4579732.848,4632642.027,4541405.387,barakgavish2018,H,ehux379,TRUE,500DMSP
11,3324466.078,3351835.459,3761997.884,barakgavish2018,H,ehux379,TRUE,500DMSP
0,477278.9428,486417.4632,471685.3173,barakgavish2018,H,ehux379,FALSE,0DMSP
1,717460.5399,704064.9878,649737.7114,barakgavish2018,H,ehux379,FALSE,0DMSP
2,1175993.855,1199150.63,1234330.798,barakgavish2018,H,ehux379,FALSE,0DMSP
3,1945851.587,2076896.366,2006756.027,barakgavish2018,H,ehux379,FALSE,0DMSP
4,3599374.234,3235246.231,3391053.754,barakgavish2018,H,ehux379,FALSE,0DMSP
5,5248682.853,5257173.656,5182478.894,barakgavish2018,H,ehux379,FALSE,0DMSP
6,5772078.484,5244270.623,5647971.015,barakgavish2018,H,ehux379,FALSE,0DMSP
7,5026789.448,4547278.613,4806534.37,barakgavish2018,H,ehux379,FALSE,0DMSP
8,4193500.564,4079981.482,3995759.336,barakgavish2018,H,ehux379,FALSE,0DMSP
9,2363275.105,2525428.118,2027704.52,barakgavish2018,H,ehux379,FALSE,0DMSP
10,1946647.656,2093867.202,1510023.987,barakgavish2018,H,ehux379,FALSE,0DMSP
11,20405.57479,84501.90271,10230.55071,barakgavish2018,H,ehux379,FALSE,0DMSP
0,456734.4446,482198.3147,488467.9053,barakgavish2018,H,ehux379,FALSE,10DMSP
1,584695.3022,677647.2297,674793.0878,barakgavish2018,H,ehux379,FALSE,10DMSP
2,1149997,1202962.826,1157622.776,barakgavish2018,H,ehux379,FALSE,10DMSP
3,1689608.994,2108743.955,1961272.356,barakgavish2018,H,ehux379,FALSE,10DMSP
4,3010287.902,3051824.23,3380217.68,barakgavish2018,H,ehux379,FALSE,10DMSP
5,4615575.151,5114917.459,4922328.062,barakgavish2018,H,ehux379,FALSE,10DMSP
6,4789319.615,4318269.33,4442503.026,barakgavish2018,H,ehux379,FALSE,10DMSP
7,3840809.713,3708611.391,3936837.595,barakgavish2018,H,ehux379,FALSE,10DMSP
8,2960853.775,3261028.51,3363141.657,barakgavish2018,H,ehux379,FALSE,10DMSP
9,1575249.77,1642857.375,801192.6992,barakgavish2018,H,ehux379,FALSE,10DMSP
10,1301610.728,1358848.69,569937.3003,barakgavish2018,H,ehux379,FALSE,10DMSP
11,34779.14471,78724.76517,1178.505862,barakgavish2018,H,ehux379,FALSE,10DMSP
0,460159.0703,429390.7427,366672.6082,barakgavish2018,H,ehux379,FALSE,100DMSP
1,573105.2992,568950.9835,546789.2948,barakgavish2018,H,ehux379,FALSE,100DMSP
2,1052106.771,1024952.998,997408.7274,barakgavish2018,H,ehux379,FALSE,100DMSP
3,2066039.325,1992477.914,1955388.873,barakgavish2018,H,ehux379,FALSE,100DMSP
4,2918877.921,2825815.339,2851788.758,barakgavish2018,H,ehux379,FALSE,100DMSP
5,2565432.008,2595914.369,2715706.446,barakgavish2018,H,ehux379,FALSE,100DMSP
6,1684449.572,1745612.42,2117948.761,barakgavish2018,H,ehux379,FALSE,100DMSP
7,275734.8457,118327.8479,292954.1222,barakgavish2018,H,ehux379,FALSE,100DMSP
8,5897.689424,4259.867035,5516.982824,barakgavish2018,H,ehux379,FALSE,100DMSP
9,950.902049,684.2006079,1064.866981,barakgavish2018,H,ehux379,FALSE,100DMSP
10,837.3721825,571.44814,1562.35728,barakgavish2018,H,ehux379,FALSE,100DMSP
11,380.334187,190.169049,798.9854709,barakgavish2018,H,ehux379,FALSE,100DMSP
0,493434.8845,484042.0133,415774.9818,barakgavish2018,H,ehux379,FALSE,500DMSP
1,773517.2664,836879.2645,827624.3575,barakgavish2018,H,ehux379,FALSE,500DMSP
2,1108036.968,1147669.921,1092322.647,barakgavish2018,H,ehux379,FALSE,500DMSP
3,2258550.952,2370829.668,2491682.512,barakgavish2018,H,ehux379,FALSE,500DMSP
4,2536565.917,2790384.821,2351880.917,barakgavish2018,H,ehux379,FALSE,500DMSP
5,17871.60528,122087.4447,10491.39459,barakgavish2018,H,ehux379,FALSE,500DMSP
6,950.124345,3499.468059,266.0653259,barakgavish2018,H,ehux379,FALSE,500DMSP
7,227.9654636,1138.954487,37.96218966,barakgavish2018,H,ehux379,FALSE,500DMSP
8,0,266.6666677,38.03727653,barakgavish2018,H,ehux379,FALSE,500DMSP
9,342.5323746,38.07009974,0,barakgavish2018,H,ehux379,FALSE,500DMSP
10,152.4467707,76.11701723,0,barakgavish2018,H,ehux379,FALSE,500DMSP
11,152.277541,0,0,barakgavish2018,H,ehux379,FALSE,500DMSP
0,0,0,0,barakgavish2018,B,bacteria,TRUE,0DMSP
1,85260.07283,74430.6938,24990.33112,barakgavish2018,B,bacteria,TRUE,0DMSP
2,49072.58653,38766.51982,48953.90174,barakgavish2018,B,bacteria,TRUE,0DMSP
